eGRID subregion acronym,eGRID subregion name,Nameplate Capacity (MW),Net Generation (MWh),Coal,Oil,Gas,Other Fossil,Nuclear,Hydro,Biomass,Wind,Solar,Geo- thermal,Other unknown/ purchased fuel
AKGD,ASCC Alaska Grid,"2,406","4,705,316",12.6,9.2,61.9,0.0,0.0,12.6,0.9,2.9,0.0,0.0,0.0
AKMS,ASCC Miscellaneous,"1,033","1,629,718",0.0,24.6,7.9,0.0,0.0,65.4,0.0,2.1,0.0,0.0,0.0
AZNM,WECC Southwest,"63,308","166,327,576",29.5,0.1,39.8,0.0,19.5,3.5,0.4,1.2,2.8,3.2,0.0
CAMX,WECC California,"110,656","200,602,485",4.3,0.1,48.4,0.7,9.4,12.1,2.9,7.0,10.6,4.1,0.2
ERCT,ERCOT All,"159,336","389,939,062",25.9,0.0,48.2,0.5,10.8,0.3,0.3,13.7,0.2,0.0,0.2
FRCC,FRCC All,"97,820","229,407,929",16.0,1.2,66.6,0.0,12.8,0.1,2.4,0.0,0.1,0.0,0.7
HIMS,HICC Miscellaneous,"1,164","2,741,704",0.2,61.7,0.0,0.0,0.0,3.3,4.3,14.8,2.1,9.5,4.1
HIOA,HICC Oahu,"2,338","7,207,141",20.7,68.7,0.0,0.9,0.0,0.0,6.1,3.2,0.4,0.0,0.0
MROE,MRO East,"11,271","20,471,860",64.5,0.6,20.5,0.1,0.0,6.8,5.3,2.0,0.0,0.0,0.1
MROW,MRO West,"74,698","218,204,106",52.7,0.2,6.7,0.0,12.8,5.0,1.3,21.1,0.0,0.0,0.2
NEWE,NPCC New England,"44,890","107,729,043",2.4,0.6,49.8,0.1,30.4,5.3,8.2,2.5,0.7,0.0,0.1
NWPP,WECC Northwest,"90,679","284,912,897",22.5,0.2,15.3,0.3,3.4,47.2,1.3,8.6,0.5,0.7,0.1
NYCW,NPCC NYC/Westchester,"16,614","44,416,982",0.0,0.4,64.6,0.0,34.1,0.0,0.9,0.0,0.0,0.0,0.0
NYLI,NPCC Long Island,"6,275","11,777,168",0.0,2.7,88.5,0.0,0.0,0.0,8.0,0.0,0.8,0.0,0.0
NYUP,NPCC Upstate NY,"30,844","84,093,338",2.1,0.2,27.7,0.0,31.4,31.6,2.1,4.7,0.1,0.0,0.0
RFCE,RFC East,"98,917","283,222,518",17.6,0.2,38.0,0.2,39.7,0.9,1.9,1.0,0.4,0.0,0.0
RFCM,RFC Michigan,"32,930","92,326,063",41.5,0.9,31.4,1.9,17.5,0.0,2.0,4.8,0.0,0.0,0.0
RFCW,RFC West,"185,858","533,500,666",49.8,0.4,16.7,0.7,27.6,0.9,0.6,3.2,0.1,0.0,0.1
RMPA,WECC Rockies,"23,339","63,912,177",51.3,0.0,20.2,0.0,0.0,12.1,0.3,15.1,0.8,0.0,0.1
SPNO,SPP North,"28,326","66,741,590",57.9,0.1,9.5,0.0,12.4,0.3,0.1,19.8,0.0,0.0,0.0
SPSO,SPP South,"61,022","156,780,737",34.8,1.9,40.7,0.2,0.0,3.6,1.5,17.1,0.1,0.0,0.1
SRMV,SERC Mississippi Valley,"58,822","172,359,088",14.0,1.1,58.7,1.4,21.2,1.4,1.8,0.0,0.0,0.0,0.4
SRMW,SERC Midwest,"38,432","121,294,301",71.4,0.1,8.3,0.0,15.1,1.2,0.1,3.5,0.0,0.0,0.2
SRSO,SERC South,"87,370","264,562,049",28.9,0.1,47.0,0.0,18.2,2.0,3.5,0.0,0.3,0.0,0.0
SRTV,SERC Tennessee Valley,"73,446","222,211,053",43.7,0.6,23.4,0.0,25.1,6.4,0.8,0.0,0.1,0.0,0.0
SRVC,SERC Virginia/Carolina,"113,211","324,246,074",24.9,0.2,29.5,0.1,39.6,1.5,2.8,0.2,1.1,0.0,0.1
U.S.,,"1,515,007","4,075,322,641",30.4,0.6,33.8,0.3,19.8,6.4,1.7,5.6,0.9,0.4,0.1
,,,,,,,,,,,,,,
