eGRID subregion acronym,eGRID subregion name,CO2,CH4,N2O,CO2e,Annual NOx,Ozone Season NOx,SO2,CO2,CH4,N2O,CO2e,Annual NOx,Ozone Season NOx,SO2,Grid Gross Loss (%),,
AKGD,ASCC Alaska Grid,"1,072.3",0.077,0.011,"1,077.3",6.5,6.5,0.5,"1,367.8",0.110,0.016,"1,375.0",6.8,6.7,0.7,5.25%,,
AKMS,ASCC Miscellaneous,503.1,0.023,0.004,504.9,7.0,6.5,0.6,"1,533.8",0.068,0.012,"1,538.9",21.8,20.8,2.0,5.25%,,
AZNM,WECC Southwest,"1,043.6",0.079,0.012,"1,049.0",1.0,0.9,0.3,"1,384.8",0.097,0.014,"1,391.2",1.3,1.1,0.4,4.23%,,
CAMX,WECC California,527.9,0.033,0.004,529.9,0.6,0.5,0.1,942.9,0.045,0.006,945.6,0.8,0.8,0.1,4.23%,,
ERCT,ERCOT All,"1,009.2",0.076,0.011,"1,014.1",0.5,0.6,1.0,"1,402.8",0.108,0.015,"1,409.8",0.8,0.7,1.6,4.89%,,
FRCC,FRCC All,"1,011.7",0.075,0.010,"1,016.4",0.5,0.5,0.4,"1,188.5",0.078,0.011,"1,193.3",0.6,0.6,0.4,4.49%,,
HIMS,HICC Miscellaneous,"1,152.0",0.095,0.015,"1,158.7",7.4,7.0,4.5,"1,530.0",0.147,0.023,"1,540.2",11.8,11.3,4.5,5.35%,,
HIOA,HICC Oahu,"1,662.9",0.181,0.028,"1,675.2",3.4,3.2,8.6,"1,637.5",0.153,0.024,"1,648.3",4.1,4.2,8.1,5.35%,,
MROE,MRO East,"1,668.2",0.156,0.026,"1,679.3",1.0,1.1,1.3,"1,740.1",0.156,0.025,"1,750.9",1.0,1.0,1.3,4.49%,,
MROW,MRO West,"1,238.8",0.115,0.020,"1,247.4",1.0,1.1,1.4,"1,822.0",0.154,0.029,"1,834.0",1.6,1.5,2.0,4.49%,,
NEWE,NPCC New England,558.2,0.090,0.012,563.7,0.4,0.4,0.1,975.1,0.086,0.011,980.5,0.5,0.4,0.2,4.49%,,
NWPP,WECC Northwest,651.2,0.061,0.009,655.4,0.6,0.7,0.4,"1,524.9",0.124,0.020,"1,533.8",1.4,1.4,0.8,4.23%,,
NYCW,NPCC NYC/Westchester,635.8,0.022,0.003,637.1,0.3,0.3,0.0,"1,061.7",0.022,0.002,"1,062.9",0.5,0.6,0.0,4.49%,,
NYLI,NPCC Long Island,"1,178.3",0.126,0.016,"1,186.0",0.9,0.8,0.2,"1,338.8",0.036,0.004,"1,340.9",0.9,0.9,0.3,4.49%,,
NYUP,NPCC Upstate NY,294.7,0.021,0.003,295.9,0.3,0.3,0.2,"1,018.2",0.061,0.008,"1,022.0",0.8,0.8,0.9,4.49%,,
RFCE,RFC East,758.2,0.050,0.009,762.1,0.6,0.6,0.6,"1,434.4",0.079,0.017,"1,441.4",1.2,1.1,1.2,4.49%,,
RFCM,RFC Michigan,"1,272.0",0.067,0.018,"1,278.9",0.9,0.9,1.7,"1,806.1",0.101,0.025,"1,816.1",1.3,1.2,2.8,4.49%,,
RFCW,RFC West,"1,243.4",0.108,0.019,"1,251.5",0.9,0.9,1.2,"1,934.4",0.172,0.029,"1,946.9",1.5,1.4,2.2,4.49%,,
RMPA,WECC Rockies,"1,367.8",0.137,0.020,"1,376.8",1.0,1.0,0.6,"1,688.3",0.147,0.021,"1,697.9",1.2,1.2,0.8,4.23%,,
SPNO,SPP North,"1,412.4",0.149,0.022,"1,422.2",0.8,0.9,0.5,"1,990.8",0.202,0.029,"2,004.1",1.4,1.5,1.1,4.49%,,
SPSO,SPP South,"1,248.3",0.095,0.015,"1,254.9",0.9,0.9,1.7,"1,662.5",0.121,0.019,"1,670.9",1.3,1.3,2.4,4.49%,,
SRMV,SERC Mississippi Valley,838.9,0.050,0.007,842.2,0.8,0.9,0.7,"1,186.0",0.071,0.010,"1,190.6",1.3,1.4,1.1,4.49%,,
SRMW,SERC Midwest,"1,612.6",0.082,0.026,"1,622.5",1.1,1.1,2.4,"1,955.2",0.084,0.031,"1,966.5",1.3,1.2,3.1,4.49%,,
SRSO,SERC South,"1,089.4",0.087,0.013,"1,095.1",0.5,0.5,0.4,"1,453.5",0.115,0.017,"1,461.1",0.8,0.7,0.6,4.49%,,
SRTV,SERC Tennessee Valley,"1,185.4",0.093,0.017,"1,192.6",0.7,0.7,1.0,"1,757.4",0.135,0.025,"1,767.9",1.1,1.1,1.6,4.49%,,
SRVC,SERC Virginia/Carolina,805.3,0.067,0.011,810.1,0.5,0.5,0.3,"1,422.2",0.111,0.019,"1,430.4",0.8,0.8,0.6,4.49%,,
U.S.,,998.4,0.080,0.013,"1,004.2",0.7,0.7,0.8,"1,501.0",0.111,0.018,"1,508.9",1.1,1.0,1.3,4.48%,,
,,,,,,,,,,,,,,,,,,
